,chembl_ids,IC50s,SMILES
3670,CHEMBL4204513,1.33,O=C(Nc1cccc(Br)c1)c1coc2ccccc2c1=O
586,CHEMBL1777845,1.35,COc1ccc(-c2cc3cc(Br)cc(OC)c3oc2=O)cc1
100,CHEMBL470226,1.4,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
1195,CHEMBL2391742,1.4,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21
2175,CHEMBL2391742,1.4,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21
1393,CHEMBL3121784,1.41,C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1
1383,CHEMBL3121795,1.41,COC(=O)c1cc2ccc(OCCc3ccc(Cl)cc3)cc2oc1=O
2460,CHEMBL3319257,1.44,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1
1616,CHEMBL3319257,1.44,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1
179,CHEMBL487235,1.49,C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C
725,CHEMBL1835224,1.52,COc1ccc2oc(=O)c(-c3ccc(C)cc3)cc2c1
2463,CHEMBL4070309,1.52,Cn1ncc2cc(C(=O)Nc3ccc(F)c(F)c3)ccc21
3986,CHEMBL4855359,1.52,O=C(Nc1cccc(Cl)c1)c1csc2ccccc2c1=O
2458,CHEMBL3319248,1.59,O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1
1625,CHEMBL3319248,1.59,O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1
1174,CHEMBL2382430,1.63,O=C(COc1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1
991,CHEMBL2151667,1.7,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1cccnc1
3671,CHEMBL4573588,1.73,O=C(Nc1cccc(O)c1)c1coc2ccccc2c1=O
4353,CHEMBL5178803,1.8,OC1CCN(c2nc3ccccc3c3c2ccn3Cc2cccc(Cl)c2)CC1
1194,CHEMBL2391869,1.8,O=C1OCc2ccc(OCc3ccc(I)cc3)cc21
5526,CHEMBL5282218,1.89,Cc1ccc(C2=NO[C@@H](c3ccc(Cl)c(Cl)c3)C2)cc1
4547,CHEMBL5282218,1.89,Cc1ccc(C2=NO[C@@H](c3ccc(Cl)c(Cl)c3)C2)cc1
2596,CHEMBL4095676,1.9,Cc1c(C#N)c(=O)oc2cc(OCc3ccccc3)ccc12
4913,CHEMBL5595997,1.9,O=C1C(c2cc(-c3cccc(C(F)(F)F)c3)no2)=CS(=O)(=O)c2ccccc21
3426,CHEMBL4567537,1.91,Fc1cc(/N=C/c2ccc3[nH]ncc3c2)ccc1Cl
799,CHEMBL1945153,2.0,O=c1ccoc2ccc(OCc3ccc(Cl)cc3)cc12
4205,CHEMBL489079,2.0,NC/C(=C/F)CCc1ccc(F)cc1
6,CHEMBL434261,2.0,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1
808,CHEMBL1945272,2.0,O=c1ccoc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12
2180,CHEMBL1945153,2.0,O=c1ccoc2ccc(OCc3ccc(Cl)cc3)cc12
4728,CHEMBL3415442,2.0,N/N=C/c1ccc(Cl)cc1
4211,CHEMBL5204901,2.0,Cl.NC/C(=C/F)[C@@H]1Cc2ccccc2O1
800,CHEMBL1945154,2.0,O=c1ccoc2ccc(OCc3cccc(Br)c3)cc12
2598,CHEMBL108660,2.0,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12
4903,CHEMBL5568907,2.0,O=c1c(-c2cc(-c3ccccc3C(F)(F)F)no2)csc2ccccc12
4573,CHEMBL145760,2.0,OCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1
4574,CHEMBL141933,2.0,OCCn1nnc(-c2ccc(OCc3cccc(Cl)c3)cc2)n1
4213,CHEMBL5186190,2.0,Cl.NC/C(=C\F)[C@@H]1Cc2ccccc2O1
4727,CHEMBL5273404,2.0,O=C(/C=C/c1ccc(F)cc1)c1ccc2c(c1)OCCO2
972,CHEMBL2151544,2.09,C/C(=N/Nc1nc(-c2ccc(C#N)cc2)cs1)c1cccnc1
1175,CHEMBL2382429,2.09,O=C(CCc1ccccc1Br)Nc1nc2ccccc2c(=O)s1
3425,CHEMBL4449231,2.1,Fc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl
2597,CHEMBL4094745,2.1,Cc1c(Cl)c(=O)oc2cc(OCc3ccccc3)ccc12
1576,CHEMBL3360732,2.1,Cc1ccc2oc(=O)c(-c3ccc([N+](=O)[O-])cc3)cc2c1
4071,CHEMBL4847545,2.2,COc1ccc2c(=O)c(/C=C/c3ccc(Cl)cc3)coc2c1
3807,CHEMBL8706,2.2,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
8,CHEMBL17092,2.2,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O
1578,CHEMBL3360734,2.2,Cc1ccc2oc(=O)c(-c3cccc(N)c3)cc2c1
2604,CHEMBL4082300,2.2,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(F)cc3)ccc12
1606,CHEMBL3319269,2.26,Cn1ccc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21
